size,time,top_individuals,crossover,mutation_rate,board_size
144,0.0065629339218139645,6,product,0.2,4
120,0.006719193458557129,6,permutations,0.2,4
84,0.009006083011627197,6,combinations_with_rep,0.2,4
144,0.0065629339218139645,6,product,0.21000000000000002,4
120,0.006804380416870117,6,permutations,0.21000000000000002,4
84,0.0068037319183349605,6,combinations_with_rep,0.21000000000000002,4
120,0.006875455379486084,6,permutations,0.15000000000000002,4
84,0.009844398498535157,6,combinations_with_rep,0.15000000000000002,4
144,0.0068042826652526854,6,product,0.16,4
120,0.007656760215759277,6,permutations,0.16,4
84,0.00812553882598877,6,combinations_with_rep,0.16,4
144,0.007287216186523437,6,product,0.16999999999999998,4
120,0.007656764984130859,6,permutations,0.16999999999999998,4
84,0.00852323293685913,6,combinations_with_rep,0.16999999999999998,4
144,0.007741296291351318,6,product,0.18,4
120,0.006250412464141846,6,permutations,0.18,4
144,0.007116804122924805,6,product,0.22000000000000003,4
120,0.0064066720008850095,6,permutations,0.22000000000000003,4
84,0.00781301498413086,6,combinations_with_rep,0.22000000000000003,4
144,0.006719193458557129,6,product,0.22999999999999998,4
120,0.005880880355834961,6,permutations,0.22999999999999998,4
84,0.006562938690185547,6,combinations_with_rep,0.22999999999999998,4
144,0.007116889953613282,6,product,0.24,4
120,0.006562936305999756,6,permutations,0.24,4
84,0.008835115432739259,6,combinations_with_rep,0.24,4
144,0.006875455379486084,6,product,0.25,4
144,0.009375619888305663,6,product,0.12000000000000001,4
120,0.009844398498535157,6,permutations,0.12000000000000001,4
84,0.01008575439453125,6,combinations_with_rep,0.12000000000000001,4
144,0.008438057899475097,6,product,0.13,4
120,0.007813024520874023,6,permutations,0.13,4
84,0.010256159305572509,6,combinations_with_rep,0.13,4
144,0.008210718631744385,6,product,0.14,4
120,0.008053827285766601,6,permutations,0.14,4
84,0.009063098430633545,6,combinations_with_rep,0.14,4
144,0.008750574588775635,6,product,0.15000000000000002,4
120,0.021660549640655516,6,permutations,0.05,4
84,0.02248993158340454,6,combinations_with_rep,0.05,4
144,0.015313515663146973,6,product,0.060000000000000005,4
120,0.01508608341217041,6,permutations,0.060000000000000005,4
84,0.020470101833343506,6,combinations_with_rep,0.060000000000000005,4
144,0.011975038051605224,6,product,0.07,4
120,0.012898528575897216,6,permutations,0.07,4
84,0.01211658000946045,6,combinations_with_rep,0.07,4
144,0.010119566917419434,6,product,0.08,4
120,0.008906829357147216,6,permutations,0.08,4
84,0.013594648838043212,6,combinations_with_rep,0.08,4
144,0.009844403266906738,6,product,0.09,4
120,0.0110233211517334,6,permutations,0.09,4
84,0.013282129764556885,6,combinations_with_rep,0.09,4
144,0.008068511486053467,6,product,0.1,4
120,0.010710885524749756,6,permutations,0.1,4
84,0.013210418224334717,6,combinations_with_rep,0.1,4
144,0.009219348430633545,6,product,0.11,4
120,0.010588340759277344,6,permutations,0.11,4
84,0.010469446182250977,6,combinations_with_rep,0.11,4
112,0.015157263278961181,7,combinations_with_rep,0.07,4
196,0.011506240367889404,7,product,0.08,4
